brand,model,trim,segment,fuel_type,transmission,engine_cc,power_bhp,torque_nm,sunroof,ADAS_level,infotainment_size_inch,safety_rating,airbags,market,year,ex_showroom_price,discount_offer,promotion_type,competitor_model,competitor_price,positioning_score,quoted_price,dealer_name,city
Nissan,Altima,Base,Sedan,Petrol,Automatic,2000,150,200,No,0,7,4,2,India,2021,22500,500,Seasonal,Toyota Camry,24000,6,22000,Prime Nissan,Kolkata
Nissan,Altima,XL,Sedan,Petrol,Automatic,2000,150,200,No,0,8,4,2,India,2021,24500,700,Dealer,Toyota Camry,24000,7,23800,Prime Nissan,Kolkata
Nissan,Altima,XV,Sedan,Petrol,Automatic,2500,180,240,Yes,1,8,5,4,India,2022,26500,1000,Festival,Honda Accord,26000,8,25500,City Nissan,Delhi
Nissan,Altima,Premium,Sedan,Petrol,Automatic,2500,180,240,Yes,1,9,5,4,India,2022,28500,1200,Festival,Honda Accord,26000,9,27200,City Nissan,Delhi
Nissan,Kicks,XL,SUV,Petrol,Manual,1500,105,142,No,0,7,4,2,India,2021,16500,300,Seasonal,Hyundai Creta,17500,6,16000,Highway Nissan,Mumbai
Nissan,Kicks,XV,SUV,Petrol,Manual,1500,105,142,No,0,8,4,2,India,2021,17500,400,Dealer,Hyundai Creta,17500,7,17000,Highway Nissan,Mumbai
Nissan,Kicks,Premium,SUV,Petrol,Automatic,1500,105,142,Yes,1,8,5,4,India,2022,19500,600,Festival,Kia Seltos,18500,8,18800,Metro Nissan,Bangalore
Nissan,Kicks,Turbo,SUV,Petrol,Manual,1300,154,254,Yes,1,8,5,4,India,2022,20500,800,Festival,Kia Seltos,18500,9,19800,Metro Nissan,Bangalore
Nissan,X-Trail,Base,SUV,Petrol,Automatic,2000,142,200,No,1,8,5,4,India,2021,32000,1000,Seasonal,Hyundai Tucson,33000,7,31000,Prime Nissan,Kolkata
Nissan,X-Trail,XL,SUV,Petrol,Automatic,2000,142,200,Yes,1,9,5,4,India,2021,34000,1200,Dealer,Hyundai Tucson,33000,8,33000,Prime Nissan,Kolkata
Nissan,X-Trail,Premium,SUV,Hybrid,Automatic,2500,180,250,Yes,2,10,5,6,India,2022,38000,1500,Festival,Jeep Compass,36000,9,36500,City Nissan,Delhi
Nissan,X-Trail,Hybrid+,SUV,Hybrid,Automatic,2500,180,250,Yes,2,12,5,6,India,2022,41000,1800,Festival,Jeep Compass,36000,10,39500,City Nissan,Delhi
Nissan,Micra,Base,Hatchback,Petrol,Manual,1200,75,104,No,0,6,3,2,India,2021,8000,200,Seasonal,Maruti Swift,8500,5,7800,Highway Nissan,Mumbai
Nissan,Micra,XL,Hatchback,Petrol,Manual,1200,75,104,No,0,7,3,2,India,2021,8500,250,Dealer,Maruti Swift,8500,6,8300,Highway Nissan,Mumbai
Nissan,Micra,XV,Hatchback,Petrol,Automatic,1200,75,104,Yes,1,7,4,2,India,2022,9000,300,Festival,Hyundai i20,9000,7,8800,Metro Nissan,Bangalore
Nissan,Micra,Premium,Hatchback,Petrol,Automatic,1200,75,104,Yes,1,8,4,2,India,2022,9500,350,Festival,Hyundai i20,9000,8,9200,Metro Nissan,Bangalore
Nissan,Magnite,Base,SUV,Petrol,Manual,1000,72,96,No,0,7,4,2,India,2021,7000,150,Seasonal,Tata Punch,7500,6,6800,Prime Nissan,Kolkata
Nissan,Magnite,XL,SUV,Petrol,Manual,1000,72,96,No,0,8,4,2,India,2021,7500,200,Dealer,Tata Punch,7500,7,7300,Prime Nissan,Kolkata
